CRESTA,Haz,Vuln,Overall
DE_97,-0.005313917,-3.67E-02,-4.19E-02
DE_98,-3.42E-03,-5.56E-02,-5.88E-02
DE_99,-0.023115125,-4.23E-02,-0.064439409
DK_1,4.84E-02,-5.65E-02,-1.09E-02
DK_2,1.08E-02,-5.35E-02,-4.33E-02
DK_3,-3.24E-03,-6.09E-02,-6.39E-02
DK_4,-2.23E-02,-4.85E-02,-6.98E-02
DK_5,-0.027274493,-6.03E-02,-8.59E-02
DK_6,-1.00E-02,-5.90E-02,-6.84E-02
DK_7,2.45E-02,-0.065135033,-4.22E-02
DK_8,-2.44E-02,-5.75E-02,-0.080463441
DK_9,6.01E-02,-7.70E-02,-0.021565645
DK_10,1.38E-02,-8.80E-02,-7.54E-02
DK_11,3.02E-03,-5.65E-02,-5.37E-02
FR_1,-0.121452362,-0.47382642,-0.537731444
FR_2,1.70E-02,-9.65E-02,-8.12E-02
FR_3,-0.128022301,-0.412319177,-0.487555428
FR_4,-8.20E-02,-0.476820651,-0.519705268
FR_5,-1.10E-02,-0.479564683,-0.485296268
FR_6,2.00E-02,-0.22706824,-0.211645429
FR_7,-2.25E-02,-0.47147546,-0.483345972
FR_8,5.03E-02,-0.103154002,-5.81E-02
FR_9,-5.38E-02,-0.248153085,-0.28861092
FR_10,0.028609139,-0.109632696,-8.42E-02
FR_11,-0.125267009,-0.183437862,-0.285726159
FR_12,-4.90E-02,-0.468975624,-0.495011296
FR_13,-8.53E-02,-0.245042928,-0.309450453
FR_14,2.28E-02,-0.218220697,-0.200359334
FR_15,-2.68E-02,-0.467637506,-0.481900741
FR_16,-8.40E-02,-9.98E-02,-0.175425467
FR_17,-0.06585697,-0.300589571,-0.346650622
FR_18,-5.23E-02,-0.416748207,-0.447235835
FR_19,-7.69E-02,-0.186368808,-0.248908086
FR_20,-0.105671122,-0.206807094,-0.290624679
FR_21,-7.66E-02,-0.120531407,-0.187907915
FR_22,7.49E-03,-0.200442922,-0.194454304
FR_23,-0.100498113,-0.296965449,-0.367619094
FR_24,-0.120424805,-6.60E-02,-0.178460487
FR_25,-8.13E-02,-0.147845875,-0.217105388
FR_26,-1.28E-02,-0.469877502,-0.476667803
FR_27,4.85E-02,-0.16643438,-0.12599095
FR_28,8.57E-02,-0.11937519,-4.39E-02
FR_29,2.63E-03,-0.198882769,-0.196774349
FR_30,-0.195439185,-0.257049171,-0.402250875
FR_31,-4.57E-02,-0.109214223,-0.149943401
FR_32,-8.39E-02,-4.50E-02,-0.125095365
FR_33,-8.72E-02,-5.92E-02,-0.141178281
FR_34,-0.441147944,-0.27543822,-0.59507716
FR_35,0.02482939,-0.222053084,-0.202737137
FR_36,-6.77E-02,-0.409312362,-0.44928124
FR_37,-5.22E-03,-0.129499742,-0.134041435
FR_38,-3.64E-02,-0.475155533,-0.494275041
FR_39,-4.01E-02,-0.176544591,-0.209549635
FR_40,-8.88E-02,-6.69E-02,-0.149740244
FR_41,4.56E-03,-0.124251827,-0.120259439
FR_42,-0.126555654,-0.455311549,-0.524244952
FR_43,-0.063869504,-0.469157269,-0.503061931
FR_44,-3.64E-02,-8.00E-02,-0.113531837
FR_45,5.21E-02,-0.130663003,-8.54E-02
FR_46,-0.102550125,-0.232814887,-0.311489816
